date;brand_id;phrase_id;shows
2021-07-12;1;13;142
2021-07-12;1;14;505
2021-07-12;1;15;919
2021-07-12;1;16;64
2021-07-12;1;17;5676
2021-07-12;1;18;20637
2021-07-12;1;19;2162
2021-07-12;1;20;120
2021-07-12;1;21;1766
2021-07-12;1;22;234
2021-07-13;0;0;1549
2021-07-13;0;1;62
2021-07-13;0;2;71
2021-07-13;0;3;130
2021-07-13;0;4;4
2021-07-13;0;5;78
2021-07-13;0;6;5
2021-07-13;0;7;10327
2021-07-13;0;8;1832
2021-07-13;0;9;516
2021-07-13;0;10;85
2021-07-13;1;11;1137
2021-07-13;1;12;64
2021-07-13;1;13;139
2021-07-13;1;14;516
2021-07-13;1;15;912
2021-07-13;1;16;64
2021-07-13;1;17;5654
2021-07-13;1;18;20470
2021-07-13;1;19;2156
2021-07-13;1;20;119
2021-07-13;1;21;1752
2021-07-13;1;22;226
2021-07-14;0;0;1488
2021-07-14;0;1;62
2021-07-14;0;2;70
2021-07-14;0;3;126
2021-07-14;0;4;1
2021-07-14;0;5;79
2021-07-14;0;6;5
2021-07-14;0;7;10219
2021-07-14;0;8;1827
2021-07-14;0;9;518
2021-07-14;0;10;87
2021-07-14;1;11;1131
2021-07-14;1;12;59
2021-07-14;1;13;138
2021-07-14;1;14;519
2021-07-14;1;15;904
2021-07-14;1;16;61
2021-07-14;1;17;5629
2021-07-14;1;18;20471
2021-07-14;1;19;2188
2021-07-14;1;20;114
2021-07-14;1;21;1767
2021-07-14;1;22;232
2021-07-15;0;0;1444
2021-07-15;0;1;61
2021-07-15;0;2;75
2021-07-15;0;3;129
2021-07-15;0;4;1
2021-07-15;0;5;76
2021-07-15;0;6;5
2021-07-15;0;7;10185
2021-07-15;0;8;1838
2021-07-15;0;9;525
2021-07-15;0;10;86
2021-07-15;1;11;1142
2021-07-15;1;12;57
2021-07-15;1;13;137
2021-07-15;1;14;518
2021-07-15;1;15;914
2021-07-15;1;16;63
2021-07-15;1;17;5715
2021-07-15;1;18;20737
2021-07-15;1;19;2221
2021-07-15;1;20;106
2021-07-15;1;21;1814
